upc,in_stock
a897fe39b1053632,22
90fa61229261140a,20
6957f44c3847a760,20
e00eb4fd7b871a48,20
4165285e1663650f,20
f77dbf2323deb740,19
2597b5a345f45e1b,19
e72a5dfc7e9267b2,19
e10e1e165dc8be4a,19
1dfe412b8ac00530,19
0312262ecafa5a40,19
30a7f60cd76ca58c,19
ce6396b0f23f6ecc,19
3b1c02bac2a429e6,19
a34ba96d4081e6a4,19
deda3e61b9514b83,19
feb7cc7701ecf901,19
e30f54cea9b38190,19
a18a4f574854aced,19
a22124811bfa8350,19
23356462d1320d61,19
327f68a59745c102,19
5674a18a29a43ced,19
c2e46a2ee3b4a322,19
00bfed9e18bb36f3,19
9528d0948525bf5f,19
c7d160c2c0de586f,19
904208d6aa64b655,19
4c28def39d850cdf,18
ccd9ffa25efabdea,18
6258a1f6a6dcfe50,18
3c039985229453bf,18
5dada2b7be26bd03,18
9f6568e9c95f60b0,18
6be3beb0793a53e7,18
668fe56b17cfcd4f,18
094b269567e1c300,18
19ed25f4641d5efd,18
be5cc846f45496fb,18
55f9da0c5eea2e10,17
b4fd5943413e089a,17
c8f7f0cb1abb9cac,17
b12b89017878a60d,17
c27f6e1f185b0383,17
acddfeab2a407640,16
3ecb690d1542c568,16
8d455c7539795d2a,16
657fe5ead67a7767,16
d170b5a0da46380e,16
7ae099f3898e0209,16
9a9d6e9bc555731e,16
09555be379ad9253,16
7858914fad68493c,16
51653ef291ab7ddc,16
709822d0b5bcb7f4,16
4eed62cf5f8d8edf,16
b5ea0b5dabed25a8,16
142d767a56a9254d,16
5ee94540d0749ea0,16
cedf82b5086e4691,16
7d385d34d12e60ff,16
d01ac97e2b8947c2,16
aadee1c326d286e3,16
31075275518532d7,16
0da9aa9d24677fc0,16
8c9e6bf2467d740d,16
acd86a5426e21ca0,16
a30b270e25489e5c,16
bd261725b99f5983,16
43c6a960757cf559,16
80cfab6bcff3a244,16
a3d2a4250807f1e9,16
7d6d2a6c0276f81b,16
87b0615b6e1f4d7b,16
e6af5bf1163c1151,16
6f78a0d744c35456,16
c849f0b2f5d6a742,16
53a3d11bb568cc8b,16
d7310206583a54b6,16
c82a3e358c773c73,16
0fa6dceead7ce47a,16
0e691eda369f4e09,16
e80f8e518b300dfe,16
7392c0032f92d816,16
9429b4d59c537af5,16
889139b8e9c4cb36,16
11809b1d323b3057,16
9ffa38d3b832433a,16
b757c0c361e689ce,16
3c346ab1e76ae1f6,16
784bc2279baa878d,16
fa9610a50a1bf149,16
72f9d5be3472d34e,16
460089f796fb3f82,16
b6ee99bcf06fc91f,16
57e5a4d515c8ce44,16
7b75cc7f223791f4,16
228f74b74f3a08ae,16
18ad3ed896c7ce05,16
b136b1b180ca753a,16
e4f74c16de34d440,16
8d4eefad7a2b3915,16
1c89ae5bb804e4de,16
a6f99b9e687f9d46,16
2a97cffe61c3c4c7,16
f2df3bb043a8abb0,16
9beb96a2300109d7,16
9e28048cea8d41f7,16
7add3f8e49ec0826,16
311c0dd0e354a33e,16
fce19f9b4a943f22,16
09b6cc87e62c2c58,16
7267864328ae8b9d,16
8754c83ab2a7ae71,16
7b599c8bfcdd8d30,16
bee3672891cca906,16
5ceb951f629700a2,16
74baabfc8fd84b38,16
bdf415fd484ea8a7,16
6d5300b2d8f37e07,16
38d45839cb1c83c1,16
70ed59f194b3c556,16
8a380641491d43ed,16
f733e8c19d40ec2e,16
3a6fb983e2554023,16
842790dfaa937484,16
01d2001ac1e6f8a3,16
e4ac92d89b946781,16
796c87ddbbaaf8c5,15
9270575728a13a61,15
b8736690cf263a3c,15
d7d6d50c1e3d0b81,15
590a9cccf7db9f7d,15
de3f25248ba0789f,15
bc2a85fd35fdc7bd,15
37c0cb19713d8dda,15
623e1a180426039b,15
fd3a622648667296,15
3bebf34ee9330cbd,15
f5a92cff83897d48,15
d6361d16212664ed,15
961f18db4f138211,15
0651062381f0636a,15
e98a4efa85070c2f,15
790ef197c8f236f5,15
8ec14b1576cb7cb5,15
209adad1015af86f,15
e4c7f3487d17fd42,15
c7b5183f4d1d4efe,15
99ff4cc6491e8f5c,15
08db62f24627e71f,15
e28e330cbdf01126,15
abeafe151a587d3b,15
eac1a180047ad54e,15
9287e238d7c3b06e,15
2dbb7ec08cdd7f3c,15
e956d67c9bcc5809,15
42d0d7c92b75fc1c,15
d6670dfe3e7b42bd,15
96a38e7c813d8f1d,15
efc3768127714ec3,15
dd047728de72ad62,15
e7469e22b5bfb3e7,15
c99761a700ade23f,15
56e4f9eab2e8e674,15
203b7f94b7d6115f,15
ca71e72655bece85,15
2a70769cdc6eb8b8,15
1b33663ad7b95fd8,15
0e0dcc3339602b28,15
0c27e6c3744fc14b,15
ad04ad9fc179fc5d,15
1c929cfd16b71907,15
e656e280bc8edd56,15
b53db2271c9624f7,15
d9c643fa1fc57bdb,15
31001a1210623bd4,15
50b8f80311b31ede,15
cfeb1e1e0e695b58,15
a40723994f715420,15
caf4fe9311f1dc59,15
af96613fdd793a3c,15
d69dd8dac66f9f84,15
4aa03792b50f0b22,15
ba54932df84e8cea,15
c1afd71fc86bf682,15
fd8585283fc7d2d7,15
4ce91d31c1e57c33,15
d163dd6c352fbcd2,15
ce60436f52c5ee68,15
116a2fdc9a45bab0,15
8585760646e3aa2a,15
2f88b08bf0a0e367,15
edb3097e71330040,15
65d034adf80834b7,15
29c0025455f8c585,15
6ffb36aaeff1c81e,15
f6d967cdadc6fbd9,15
3a11bb962ff45b78,15
46c1530d7546ea6d,15
88c21fcd38e2486e,15
3b9a3b4624b7fd6d,15
a57b1dcbd6849222,15
513271dadc1322ae,15
1f329c2e7d7de8bd,15
919e7cb2269a25d2,15
3f69e667a67e54d9,15
7edc0527cf782e19,15
47271d8e08b5d31c,15
05f7c6d9a4e582d3,15
d24b829be2ca81c4,15
7ebfa6c1bee69e1e,15
bb8245f52c7cce8f,15
ffd54178acc9a6a5,15
d195e7f4ed697350,15
dd5bfa6cc2c0ecc3,14
024387ca4cafd5cc,14
047097293bb4d1c0,14
3fb15ace50d6142b,14
2b5054a4192e9b06,14
44a10f1ac8ce822e,14
6fd646a334e6e133,14
92275cedf6d8ee15,14
6a31307a81e8f3a8,14
4a1debca3135ff37,14
aba2db9afb1469c7,14
76c84daa539426e2,14
1d6443ffba9dfd80,14
6e44bcbeac7f4360,14
f0f38174a7e689a3,14
34c0d7c4ee5650af,14
08b2f71d93836313,14
6875c5657661b2fb,14
c5cb9f885d8b3621,14
e9906e2f0d189745,14
081305e6df719dff,14
1528279aec1f3dce,14
00c4543ec6bd25b4,14
e88fb1c9397cfb27,14
012094e90a4b908d,14
6bdd909329435e80,14
52cf2a5933ec5d8f,14
4e812d32d64e2431,14
f21effc079a2b38a,14
2d88a31f325dfd3b,14
