upc,titles,genre_id,ratings,product_type,price_excl_tax_gbp,price_incl_tax_gbp,tax,num_reviews
a897fe39b1053632,A Light in the Attic,34,3,Books,51.77,51.77,0.0,0
90fa61229261140a,Tipping the Velvet,22,1,Books,53.74,53.74,0.0,0
6957f44c3847a760,Soumission,18,1,Books,50.1,50.1,0.0,0
e00eb4fd7b871a48,Sharp Objects,27,4,Books,47.82,47.82,0.0,0
4165285e1663650f,Sapiens: A Brief History of Humankind,23,5,Books,54.23,54.23,0.0,0
f77dbf2323deb740,The Requiem Red,50,1,Books,22.65,22.65,0.0,0
2597b5a345f45e1b,The Dirty Little Secrets of Getting Your Dream Job,7,4,Books,33.34,33.34,0.0,0
e72a5dfc7e9267b2,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",15,3,Books,17.93,17.93,0.0,0
e10e1e165dc8be4a,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,15,4,Books,22.6,22.6,0.0,0
1dfe412b8ac00530,The Black Maria,34,1,Books,52.15,52.15,0.0,0
0312262ecafa5a40,"Starving Hearts (Triangular Trade Trilogy, #1)",15,2,Books,13.99,13.99,0.0,0
30a7f60cd76ca58c,Shakespeare's Sonnets,34,4,Books,20.66,20.66,0.0,0
ce6396b0f23f6ecc,Set Me Free,50,5,Books,17.46,17.46,0.0,0
3b1c02bac2a429e6,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),42,5,Books,52.29,52.29,0.0,0
a34ba96d4081e6a4,Rip it Up and Start Again,26,5,Books,35.02,35.02,0.0,0
deda3e61b9514b83,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",26,3,Books,57.25,57.25,0.0,0
feb7cc7701ecf901,Olio,34,1,Books,23.88,23.88,0.0,0
e30f54cea9b38190,Mesaerion: The Best Science Fiction Stories 1800-1849,40,1,Books,37.59,37.59,0.0,0
a18a4f574854aced,Libertarianism for Beginners,35,2,Books,51.33,51.33,0.0,0
a22124811bfa8350,It's Only the Himalayas,48,2,Books,45.17,45.17,0.0,0
23356462d1320d61,In Her Wake,47,1,Books,12.84,12.84,0.0,0
327f68a59745c102,How Music Works,26,2,Books,37.32,37.32,0.0,0
5674a18a29a43ced,"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",19,3,Books,30.52,30.52,0.0,0
c2e46a2ee3b4a322,Chase Me (Paris Nights #2),38,5,Books,25.27,25.27,0.0,0
00bfed9e18bb36f3,Black Dust,38,5,Books,34.53,34.53,0.0,0
9528d0948525bf5f,Birdsong: A Story in Pictures,8,3,Books,54.64,54.64,0.0,0
c7d160c2c0de586f,America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,15,3,Books,22.5,22.5,0.0,0
904208d6aa64b655,Aladdin and His Wonderful Lamp,15,3,Books,53.13,53.13,0.0,0
4c28def39d850cdf,Worlds Elsewhere: Journeys Around Shakespeareâs Globe,29,5,Books,40.3,40.3,0.0,0
ccd9ffa25efabdea,Wall and Piece,4,4,Books,44.18,44.18,0.0,0
6258a1f6a6dcfe50,The Four Agreements: A Practical Guide to Personal Freedom,44,5,Books,17.66,17.66,0.0,0
3c039985229453bf,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,29,3,Books,31.05,31.05,0.0,0
5dada2b7be26bd03,The Elephant Tree,47,5,Books,23.82,23.82,0.0,0
9f6568e9c95f60b0,The Bear and the Piano,8,1,Books,36.89,36.89,0.0,0
6be3beb0793a53e7,Sophie's World,33,5,Books,15.94,15.94,0.0,0
668fe56b17cfcd4f,Penny Maybe,15,3,Books,33.29,33.29,0.0,0
094b269567e1c300,Maude (1883-1993):She Grew Up with the country,15,2,Books,18.02,18.02,0.0,0
19ed25f4641d5efd,"In a Dark, Dark Wood",27,1,Books,19.63,19.63,0.0,0
be5cc846f45496fb,Behind Closed Doors,47,4,Books,52.22,52.22,0.0,0
55f9da0c5eea2e10,You can't bury them all: Poems,34,2,Books,33.63,33.63,0.0,0
b4fd5943413e089a,Slow States of Collapse: Poems,34,3,Books,57.31,57.31,0.0,0
c8f7f0cb1abb9cac,Reasons to Stay Alive,29,2,Books,26.41,26.41,0.0,0
b12b89017878a60d,Private Paris (Private #10),18,5,Books,47.61,47.61,0.0,0
c27f6e1f185b0383,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,29,5,Books,23.11,23.11,0.0,0
acddfeab2a407640,Without Borders (Wanderlove #1),28,2,Books,45.07,45.07,0.0,0
3ecb690d1542c568,When We Collided,12,1,Books,31.77,31.77,0.0,0
8d455c7539795d2a,"We Love You, Charlie Freeman",18,5,Books,50.27,50.27,0.0,0
657fe5ead67a7767,Untitled Collection: Sabbath Poems 2014,34,4,Books,14.27,14.27,0.0,0
d170b5a0da46380e,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",29,4,Books,44.18,44.18,0.0,0
7ae099f3898e0209,Unicorn Tracks,17,3,Books,18.78,18.78,0.0,0
9a9d6e9bc555731e,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",23,1,Books,25.52,25.52,0.0,0
09555be379ad9253,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),42,1,Books,16.28,16.28,0.0,0
7858914fad68493c,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,29,3,Books,31.12,31.12,0.0,0
51653ef291ab7ddc,This One Summer,42,4,Books,19.49,19.49,0.0,0
709822d0b5bcb7f4,Thirst,18,5,Books,17.27,17.27,0.0,0
4eed62cf5f8d8edf,The Torch Is Passed: A Harding Family Story,2,1,Books,19.09,19.09,0.0,0
b5ea0b5dabed25a8,The Secret of Dreadwillow Carse,8,1,Books,56.13,56.13,0.0,0
142d767a56a9254d,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",19,1,Books,56.41,56.41,0.0,0
5ee94540d0749ea0,The Past Never Ends,27,4,Books,56.5,56.5,0.0,0
cedf82b5086e4691,The Natural History of Us (The Fine Art of Pretending #2),50,3,Books,45.22,45.22,0.0,0
7d385d34d12e60ff,The Nameless City (The Nameless City #1),42,4,Books,38.16,38.16,0.0,0
d01ac97e2b8947c2,The Murder That Never Was (Forensic Instincts #5),18,3,Books,54.11,54.11,0.0,0
aadee1c326d286e3,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,39,4,Books,42.96,42.96,0.0,0
31075275518532d7,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",2,4,Books,23.89,23.89,0.0,0
0da9aa9d24677fc0,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,29,3,Books,16.77,16.77,0.0,0
8c9e6bf2467d740d,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",15,5,Books,20.59,20.59,0.0,0
acd86a5426e21ca0,The Gutsy Girl: Escapades for Your Life of Epic Adventure,29,1,Books,37.13,37.13,0.0,0
a30b270e25489e5c,The Electric Pencil: Drawings from Inside State Hospital No. 3,29,1,Books,56.06,56.06,0.0,0
bd261725b99f5983,The Death of Humanity: and the Case for Life,33,4,Books,58.11,58.11,0.0,0
43c6a960757cf559,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",20,3,Books,49.05,49.05,0.0,0
80cfab6bcff3a244,The Art Forger,2,3,Books,40.76,40.76,0.0,0
a3d2a4250807f1e9,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,23,1,Books,19.73,19.73,0.0,0
7d6d2a6c0276f81b,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,44,5,Books,32.24,32.24,0.0,0
87b0615b6e1f4d7b,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,29,4,Books,41.83,41.83,0.0,0
e6af5bf1163c1151,Soul Reader,15,2,Books,39.58,39.58,0.0,0
6f78a0d744c35456,Security,24,2,Books,39.25,39.25,0.0,0
c849f0b2f5d6a742,"Saga, Volume 6 (Saga (Collected Editions) #6)",17,3,Books,25.02,25.02,0.0,0
53a3d11bb568cc8b,"Saga, Volume 5 (Saga (Collected Editions) #5)",42,2,Books,51.04,51.04,0.0,0
d7310206583a54b6,Reskilling America: Learning to Labor in the Twenty-First Century,29,2,Books,19.83,19.83,0.0,0
c82a3e358c773c73,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",42,3,Books,50.4,50.4,0.0,0
0fa6dceead7ce47a,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",42,5,Books,13.61,13.61,0.0,0
0e691eda369f4e09,Princess Between Worlds (Wide-Awake Princess #5),17,5,Books,13.34,13.34,0.0,0
e80f8e518b300dfe,"Pop Gun War, Volume 1: Gift",42,1,Books,18.97,18.97,0.0,0
7392c0032f92d816,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",23,2,Books,36.28,36.28,0.0,0
9429b4d59c537af5,Patience,42,3,Books,10.16,10.16,0.0,0
889139b8e9c4cb36,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",42,4,Books,15.44,15.44,0.0,0
11809b1d323b3057,orange: The Complete Collection 1 (orange: The Complete Collection #1),42,1,Books,48.41,48.41,0.0,0
9ffa38d3b832433a,Online Marketing for Busy Authors: A Step-By-Step Guide,41,1,Books,46.35,46.35,0.0,0
b757c0c361e689ce,On a Midnight Clear,2,3,Books,14.07,14.07,0.0,0
3c346ab1e76ae1f6,Obsidian (Lux #1),50,2,Books,14.86,14.86,0.0,0
784bc2279baa878d,My Paris Kitchen: Recipes and Stories,19,2,Books,33.37,33.37,0.0,0
fa9610a50a1bf149,Masks and Shadows,17,2,Books,56.4,56.4,0.0,0
72f9d5be3472d34e,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",19,4,Books,14.02,14.02,0.0,0
460089f796fb3f82,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",42,2,Books,46.91,46.91,0.0,0
b6ee99bcf06fc91f,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",42,3,Books,45.61,45.61,0.0,0
57e5a4d515c8ce44,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),42,2,Books,19.92,19.92,0.0,0
7b75cc7f223791f4,"Layered: Baking, Building, and Styling Spectacular Cakes",19,1,Books,40.11,40.11,0.0,0
228f74b74f3a08ae,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),2,2,Books,53.9,53.9,0.0,0
18ad3ed896c7ce05,Join,40,5,Books,35.67,35.67,0.0,0
b136b1b180ca753a,In the Country We Love: My Family Divided,29,4,Books,22.0,22.0,0.0,0
e4f74c16de34d440,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,39,5,Books,57.36,57.36,0.0,0
8d4eefad7a2b3915,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",42,2,Books,29.17,29.17,0.0,0
1c89ae5bb804e4de,I am a Hero Omnibus Volume 1,42,3,Books,54.63,54.63,0.0,0
a6f99b9e687f9d46,How to Be Miserable: 40 Strategies You Already Use,41,1,Books,46.03,46.03,0.0,0
2a97cffe61c3c4c7,Her Backup Boyfriend (The Sorensen Family #1),38,1,Books,33.97,33.97,0.0,0
f2df3bb043a8abb0,"Giant Days, Vol. 2 (Giant Days #5-8)",42,2,Books,22.11,22.11,0.0,0
9beb96a2300109d7,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,22,3,Books,29.69,29.69,0.0,0
9e28048cea8d41f7,First and First (Five Boroughs #3),38,4,Books,15.97,15.97,0.0,0
7add3f8e49ec0826,Fifty Shades Darker (Fifty Shades #2),38,1,Books,21.96,21.96,0.0,0
311c0dd0e354a33e,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,29,2,Books,54.35,54.35,0.0,0
fce19f9b4a943f22,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37,2,Books,37.97,37.97,0.0,0
09b6cc87e62c2c58,Danganronpa Volume 1,42,4,Books,51.99,51.99,0.0,0
7267864328ae8b9d,Crown of Midnight (Throne of Glass #2),17,3,Books,43.29,43.29,0.0,0
8754c83ab2a7ae71,"Codename Baboushka, Volume 1: The Conclave of Death",42,4,Books,36.72,36.72,0.0,0
7b599c8bfcdd8d30,Camp Midnight,42,4,Books,17.08,17.08,0.0,0
bee3672891cca906,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29,5,Books,29.14,29.14,0.0,0
5ceb951f629700a2,Burning,50,3,Books,28.81,28.81,0.0,0
74baabfc8fd84b38,Bossypants,15,2,Books,49.46,49.46,0.0,0
bdf415fd484ea8a7,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",42,2,Books,37.92,37.92,0.0,0
6d5300b2d8f37e07,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",17,2,Books,28.09,28.09,0.0,0
38d45839cb1c83c1,Algorithms to Live By: The Computer Science of Human Decisions,29,1,Books,30.81,30.81,0.0,0
70ed59f194b3c556,A World of Flavor: Your Gluten Free Passport,15,1,Books,42.95,42.95,0.0,0
8a380641491d43ed,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",15,5,Books,56.76,56.76,0.0,0
f733e8c19d40ec2e,A Murder in Time,27,1,Books,16.64,16.64,0.0,0
3a6fb983e2554023,A Flight of Arrows (The Pathfinders #2),22,5,Books,55.53,55.53,0.0,0
842790dfaa937484,A Fierce and Subtle Poison,50,4,Books,28.13,28.13,0.0,0
01d2001ac1e6f8a3,A Court of Thorns and Roses (A Court of Thorns and Roses #1),17,1,Books,52.37,52.37,0.0,0
e4ac92d89b946781,(Un)Qualified: How God Uses Broken People to Do Big Things,9,5,Books,54.0,54.0,0.0,0
796c87ddbbaaf8c5,You Are What You Love: The Spiritual Power of Habit,37,4,Books,21.87,21.87,0.0,0
9270575728a13a61,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",40,4,Books,43.3,43.3,0.0,0
b8736690cf263a3c,Tuesday Nights in 1980,18,2,Books,21.04,21.04,0.0,0
d7d6d50c1e3d0b81,Tracing Numbers on a Train,15,3,Books,41.6,41.6,0.0,0
590a9cccf7db9f7d,Throne of Glass (Throne of Glass #1),17,3,Books,35.07,35.07,0.0,0
de3f25248ba0789f,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,23,1,Books,59.64,59.64,0.0,0
bc2a85fd35fdc7bd,Thirteen Reasons Why,15,1,Books,52.72,52.72,0.0,0
37c0cb19713d8dda,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,8,4,Books,58.08,58.08,0.0,0
623e1a180426039b,The Wedding Dress,38,1,Books,24.12,24.12,0.0,0
fd3a622648667296,The Vacationers,18,4,Books,42.15,42.15,0.0,0
3bebf34ee9330cbd,The Third Wave: An Entrepreneurâs Vision of the Future,7,5,Books,12.61,12.61,0.0,0
f5a92cff83897d48,The Stranger,33,4,Books,17.44,17.44,0.0,0
d6361d16212664ed,The Shadow Hero (The Shadow Hero),42,1,Books,33.14,33.14,0.0,0
961f18db4f138211,The Secret (The Secret #1),15,4,Books,27.37,27.37,0.0,0
0651062381f0636a,The Regional Office Is Under Attack!,18,5,Books,51.36,51.36,0.0,0
e98a4efa85070c2f,The Psychopath Test: A Journey Through the Madness Industry,15,2,Books,36.0,36.0,0.0,0
790ef197c8f236f5,The Project,40,1,Books,10.65,10.65,0.0,0
8ec14b1576cb7cb5,The Power of Now: A Guide to Spiritual Enlightenment,29,2,Books,43.54,43.54,0.0,0
209adad1015af86f,The Omnivore's Dilemma: A Natural History of Four Meals,29,2,Books,38.21,38.21,0.0,0
e4c7f3487d17fd42,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,19,5,Books,37.34,37.34,0.0,0
c7b5183f4d1d4efe,The Murder of Roger Ackroyd (Hercule Poirot #4),27,4,Books,44.1,44.1,0.0,0
99ff4cc6491e8f5c,The Mistake (Off-Campus #2),28,3,Books,43.29,43.29,0.0,0
08db62f24627e71f,The Matchmaker's Playbook (Wingmen Inc. #1),28,1,Books,55.85,55.85,0.0,0
e28e330cbdf01126,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,19,2,Books,37.6,37.6,0.0,0
abeafe151a587d3b,The Long Shadow of Small Ghosts: Murder and Memory in an American City,13,1,Books,10.97,10.97,0.0,0
eac1a180047ad54e,The Kite Runner,15,4,Books,41.82,41.82,0.0,0
9287e238d7c3b06e,The House by the Lake,22,1,Books,36.95,36.95,0.0,0
2dbb7ec08cdd7f3c,The Glittering Court (The Glittering Court #1),17,1,Books,44.28,44.28,0.0,0
e956d67c9bcc5809,The Girl on the Train,15,2,Books,55.02,55.02,0.0,0
42d0d7c92b75fc1c,The Genius of Birds,29,1,Books,17.24,17.24,0.0,0
d6670dfe3e7b42bd,The Emerald Mystery,15,2,Books,23.15,23.15,0.0,0
96a38e7c813d8f1d,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,19,1,Books,41.25,41.25,0.0,0
efc3768127714ec3,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,15,3,Books,32.0,32.0,0.0,0
dd047728de72ad62,The Artist's Way: A Spiritual Path to Higher Creativity,29,5,Books,38.49,38.49,0.0,0
e7469e22b5bfb3e7,The Art of War,15,5,Books,33.34,33.34,0.0,0
c99761a700ade23f,The Argonauts,5,2,Books,10.93,10.93,0.0,0
56e4f9eab2e8e674,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,7,3,Books,27.55,27.55,0.0,0
203b7f94b7d6115f,Suddenly in Love (Lake Haven #1),38,2,Books,55.99,55.99,0.0,0
ca71e72655bece85,Something More Than This,38,4,Books,16.24,16.24,0.0,0
2a70769cdc6eb8b8,Soft Apocalypse,40,2,Books,26.12,26.12,0.0,0
1b33663ad7b95fd8,So You've Been Publicly Shamed,29,2,Books,12.23,12.23,0.0,0
0e0dcc3339602b28,Shoe Dog: A Memoir by the Creator of NIKE,7,2,Books,23.99,23.99,0.0,0
0c27e6c3744fc14b,"Shobu Samurai, Project Aryoku (#3)",2,3,Books,29.06,29.06,0.0,0
ad04ad9fc179fc5d,Secrets and Lace (Fatal Hearts #1),15,1,Books,20.27,20.27,0.0,0
1c929cfd16b71907,Scarlett Epstein Hates It Here,50,5,Books,43.55,43.55,0.0,0
e656e280bc8edd56,Romero and Juliet: A Tragic Tale of Love and Zombies,15,1,Books,36.94,36.94,0.0,0
b53db2271c9624f7,Redeeming Love,10,5,Books,20.47,20.47,0.0,0
d9c643fa1fc57bdb,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,15,1,Books,41.06,41.06,0.0,0
31001a1210623bd4,Poems That Make Grown Women Cry,34,4,Books,14.19,14.19,0.0,0
50b8f80311b31ede,"Nightingale, Sing",50,1,Books,38.28,38.28,0.0,0
cfeb1e1e0e695b58,Night Sky with Exit Wounds,34,1,Books,41.05,41.05,0.0,0
a40723994f715420,Mrs. Houdini,22,5,Books,30.25,30.25,0.0,0
caf4fe9311f1dc59,Modern Romance,2,5,Books,28.26,28.26,0.0,0
af96613fdd793a3c,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),15,1,Books,10.76,10.76,0.0,0
d69dd8dac66f9f84,Louisa: The Extraordinary Life of Mrs. Adams,6,2,Books,16.85,16.85,0.0,0
4aa03792b50f0b22,Little Red,8,3,Books,13.47,13.47,0.0,0
ba54932df84e8cea,Library of Souls (Miss Peregrineâs Peculiar Children #3),50,5,Books,48.56,48.56,0.0,0
c1afd71fc86bf682,Large Print Heart of the Pride,15,2,Books,19.15,19.15,0.0,0
fd8585283fc7d2d7,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,49,4,Books,57.36,57.36,0.0,0
4ce91d31c1e57c33,Hollow City (Miss Peregrineâs Peculiar Children #2),17,1,Books,42.98,42.98,0.0,0
d163dd6c352fbcd2,Grumbles,15,2,Books,22.16,22.16,0.0,0
ce60436f52c5ee68,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,48,4,Books,49.43,49.43,0.0,0
116a2fdc9a45bab0,Frostbite (Vampire Academy #2),50,5,Books,29.99,29.99,0.0,0
8585760646e3aa2a,Follow You Home,24,1,Books,21.36,21.36,0.0,0
2f88b08bf0a0e367,First Steps for New Christians (Print Edition),15,1,Books,29.0,29.0,0.0,0
edb3097e71330040,Finders Keepers (Bill Hodges Trilogy #2),18,5,Books,53.53,53.53,0.0,0
65d034adf80834b7,"Fables, Vol. 1: Legends in Exile (Fables #1)",42,4,Books,41.62,41.62,0.0,0
29c0025455f8c585,Eureka Trivia 6.0,15,4,Books,54.59,54.59,0.0,0
6ffb36aaeff1c81e,Drive: The Surprising Truth About What Motivates Us,15,4,Books,34.95,34.95,0.0,0
f6d967cdadc6fbd9,Done Rubbed Out (Reightman & Bailey #1),15,5,Books,37.72,37.72,0.0,0
3a11bb962ff45b78,Doing It Over (Most Likely To #1),38,3,Books,35.61,35.61,0.0,0
46c1530d7546ea6d,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",19,3,Books,42.16,42.16,0.0,0
88c21fcd38e2486e,Dark Notes,16,5,Books,19.19,19.19,0.0,0
3b9a3b4624b7fd6d,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",29,3,Books,19.43,19.43,0.0,0
a57b1dcbd6849222,Close to You,10,4,Books,49.46,49.46,0.0,0
513271dadc1322ae,Chasing Heaven: What Dying Taught Me About Living,44,2,Books,37.8,37.8,0.0,0
1f329c2e7d7de8bd,Big Magic: Creative Living Beyond Fear,29,3,Books,30.8,30.8,0.0,0
919e7cb2269a25d2,Becoming Wise: An Inquiry into the Mystery and Art of Living,29,2,Books,27.43,27.43,0.0,0
3f69e667a67e54d9,Beauty Restored (Riley Family Legacy Novellas #3),15,2,Books,11.11,11.11,0.0,0
7edc0527cf782e19,Batman: The Long Halloween (Batman),42,2,Books,36.5,36.5,0.0,0
47271d8e08b5d31c,Batman: The Dark Knight Returns (Batman),42,5,Books,15.38,15.38,0.0,0
05f7c6d9a4e582d3,Ayumi's Violin,15,2,Books,15.48,15.48,0.0,0
d24b829be2ca81c4,Anonymous,15,4,Books,46.82,46.82,0.0,0
7ebfa6c1bee69e1e,Amy Meets the Saints and Sages,15,3,Books,18.46,18.46,0.0,0
bb8245f52c7cce8f,Amid the Chaos,14,1,Books,36.58,36.58,0.0,0
ffd54178acc9a6a5,Amatus,15,5,Books,50.54,50.54,0.0,0
d195e7f4ed697350,Agnostic: A Spirited Manifesto,29,5,Books,12.51,12.51,0.0,0
dd5bfa6cc2c0ecc3,Zealot: The Life and Times of Jesus of Nazareth,23,3,Books,24.7,24.7,0.0,0
024387ca4cafd5cc,You (You #1),47,5,Books,43.61,43.61,0.0,0
047097293bb4d1c0,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",42,4,Books,37.34,37.34,0.0,0
3fb15ace50d6142b,Wild Swans,50,2,Books,14.36,14.36,0.0,0
2b5054a4192e9b06,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,35,4,Books,52.65,52.65,0.0,0
44a10f1ac8ce822e,Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,29,4,Books,38.2,38.2,0.0,0
6fd646a334e6e133,What's It Like in Space?: Stories from Astronauts Who've Been There,29,2,Books,19.6,19.6,0.0,0
92275cedf6d8ee15,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",42,1,Books,53.9,53.9,0.0,0
6a31307a81e8f3a8,Walt Disney's Alice in Wonderland,8,5,Books,12.96,12.96,0.0,0
4a1debca3135ff37,V for Vendetta (V for Vendetta Complete),15,4,Books,37.1,37.1,0.0,0
aba2db9afb1469c7,Until Friday Night (The Field Party #1),50,2,Books,46.31,46.31,0.0,0
76c84daa539426e2,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",15,2,Books,45.95,45.95,0.0,0
1d6443ffba9dfd80,Twenty Yawns,8,2,Books,22.08,22.08,0.0,0
6e44bcbeac7f4360,Through the Woods,42,2,Books,25.38,25.38,0.0,0
f0f38174a7e689a3,This Is Where It Ends,50,2,Books,27.12,27.12,0.0,0
34c0d7c4ee5650af,The Year of Magical Thinking,29,2,Books,43.04,43.04,0.0,0
08b2f71d93836313,The Wright Brothers,15,4,Books,56.8,56.8,0.0,0
